UMAP 0,UMAP 1,cell_type,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7
-0.6439316,-11.741301,CD4+ T naive,TRBC1,FOS,TNFAIP3,TRAT1,IL7R,H1FX,HIST1H4C,MALAT1
8.116308,-11.751606,CD8+ T naive,CD8B,CD8,FOS,LINC02446,AIF1,ID2,TRAC,HBB
9.662975,-0.17179032,CD8+ T CD57+ CD45RA+,GNLY,NKG7,GZMB,CCL5,GZMH,CCL4,FGFBP2,PRF1
12.8129835,12.714657,Naive CD20+ B IGKC-,IGHM,TCL1A,CD74,IGLC1,HLA-DRA,MS4A1,IGHD,CD79A
-11.40439,14.423479,Reticulocyte,MALAT1,HBM,HBA2,HBB,HBA1,HBD,FOS,AHSP
-16.121504,12.118582,Reticulocyte,MALAT1,HBA2,HBB,HBA1,HBD,TPT1,HIST1H4C,FOS
-3.6861129,-7.116829,NK,JUN,TNFAIP3,JUNB,KLF6,ID2,CTSW,AREG,KLRB1
4.685445,8.786388,Erythroblast,HBD,HIST1H4C,HBM,CA1,PRDX2,AHSP,HBB,HIST1H1B
7.1295967,-10.128905,CD8+ T naive,CD8,CD8B,FOS,JUNB,JUN,DUSP2,KLRK1,HBD
3.3261716,8.201417,Erythroblast,HIST1H4C,HBM,HBD,AHSP,PRDX2,CA1,HBB,HBA2
-2.778347,-7.5894213,CD4+ T activated,IL7R,CRIP1,TRBC2,GPR183,TPT1,ANXA1,S100A11,NEAT1
8.496047,-8.569107,CD8+ T naive,CD8,CD8B,HBA1,CD8A,MALAT1,FOSB,TNFAIP3,NUCB2
14.684634,-4.230249,NK,GNLY,NKG7,CTSW,KLRD1,CCL5,CMC1,XCL2,CD7
-11.132258,14.226527,Reticulocyte,MALAT1,HBA2,HBD,HBB,HBA1,AHSP,TPT1,HBM
10.617056,-0.63568985,CD8+ T CD57+ CD45RA+,GNLY,NKG7,CCL5,IRF1,CCL4,PRF1,ZEB2,CTSW
8.907946,-0.6365584,CD8+ T CD57+ CD45RA+,CCL4,NKG7,GNLY,CCL5,TRBC2,GZMH,FGFBP2,CD8B
15.169874,16.942516,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,HLA-DRB1,CD79A,IGHD,CD79B
1.962975,-11.777308,CD4+ T naive,TRBC1,IL7R,JUNB,MALAT1,SAT1,HBA1,TPT1,H1FX
8.123446,-11.247873,CD8+ T naive,CD8B,CD8,LINC02446,JUNB,TRBC1,JUN,FOS,IL7R
13.57728,11.717951,Naive CD20+ B IGKC-,IGHM,CD74,HLA-DRA,CD79A,HLA-DPB1,TCL1A,IGLC3,IGHD
10.250813,0.7453963,CD8+ T CD57+ CD45RA+,GNLY,NKG7,GZMB,CCL4,CCL5,GZMH,FGFBP2,LGALS1
-13.338257,11.492619,Reticulocyte,MALAT1,HBA2,HBB,HBA1,HBM,TPT1,HBD,AHSP
-8.512849,13.231344,Reticulocyte,MALAT1,HBD,HBA2,HBB,HBA1,HBM,AHSP,TPT1
0.18878323,-11.062166,CD4+ T naive,TRBC1,GPR183,IL7R,MALAT1,H1FX,SAT1,TNFAIP3,AIF1
14.409123,11.693209,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,CD79A,IGHD,CD79B,IGLC3
5.8024197,-10.839224,CD8+ T naive,CD8,CD8B,LINC02446,ANXA1,IRF1,HBA1,JUNB,AL499604.1
-11.210697,14.929714,Reticulocyte,MALAT1,HBA2,HBM,HBB,HBA1,HBD,AHSP,TPT1
-5.867701,-5.7686777,CD4+ T activated,IL7R,JUN,KLRB1,S100A11,ZFP36,ANXA1,CRIP1,FOSB
15.378788,17.404259,Naive CD20+ B IGKC+,IGKC,IGHM,CD79A,HLA-DRA,CD74,MS4A1,IGHD,CD79B
-5.305667,6.5477314,Normoblast,HBB,HBA2,HBA1,HBD,HBM,SLC25A37,TPT1,ARL4A
-11.118166,14.203049,Reticulocyte,MALAT1,HBA2,HBM,HBB,HBD,HBA1,CA1,TPT1
-4.195702,-5.3020105,CD4+ T activated,IL7R,KLRB1,ANXA1,TPT1,CD2,CRIP1,CCL5,IRF1
15.363388,17.12579,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79A,IGHD,HLA-DRB1,MS4A1
-0.39105552,-11.058744,CD4+ T naive,IL7R,MALAT1,BCL11B,CRIP1,ANXA1,CD7,JUNB,CD8B
-3.3395448,-8.471394,CD4+ T activated,IL7R,FOS,HBA1,CRIP1,SAT1,GPR183,FOSB,KLRB1
14.247355,10.811343,Naive CD20+ B IGKC-,IGLC2,IGHM,CD74,IGLC3,HLA-DRA,HLA-DPB1,HLA-DRB1,TCL1A
-16.122124,13.689194,Reticulocyte,MALAT1,HBA2,HBB,HBA1,HBM,CA1,TPT1,FOS
7.2741337,-8.620442,CD8+ T naive,CD8,CD8B,AIF1,JUN,MALAT1,CD8A,HBD,GZMM
8.642229,-9.075727,CD8+ T naive,CD8B,CD8,CD8A,TRBC2,TRBC1,JUNB,NUCB2,IL7R
-5.777608,-6.0988913,CD4+ T activated,IL7R,KLRB1,S100A11,CRIP1,ANXA1,AL499604.1,TRBC1,NEAT1
7.0063167,-9.22349,CD8+ T naive,CD8,CD8B,JUNB,KLRK1,CD7,JUN,HBD,CD8A
-4.0813146,-7.3211174,CD4+ T activated,IL7R,CRIP1,HBB,ID2,JUNB,ANXA1,S100A11,FOS
-15.626391,-7.337633,CD14+ Mono,LYZ,S100A9,S100A8,NEAT1,SAT1,CTSS,VCAN,FCN1
-15.760635,12.399007,Reticulocyte,MALAT1,HBA2,HBB,HBA1,TPT1,HBD,HBM,FOS
-16.69333,-9.301291,CD14+ Mono,S100A9,NEAT1,LYZ,S100A8,SAT1,MNDA,JUN,VCAN
8.995073,-10.470779,CD8+ T naive,CD8B,CD8,CD8A,JUNB,ID2,CD7,HBD,NUCB2
-7.635056,14.685501,Reticulocyte,MALAT1,HBA2,HBB,HBM,HBD,HBA1,FOS,AHSP
-17.26944,-6.645837,CD14+ Mono,S100A9,S100A8,LYZ,LGALS1,AC020656.1,NEAT1,VCAN,MNDA
-15.526777,-6.533826,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,AC020656.1,LGALS1,FCN1,CTSS
6.617396,-11.741715,CD8+ T naive,CD8B,CD8,JUNB,LINC02446,HBA1,GZMM,GIMAP7,ANXA1
-4.0786552,-6.9714427,CD4+ T naive,CCL5,IL7R,TPT1,NEAT1,ZFP36,MALAT1,GZMA,FOS
-2.100233,-5.1754227,CD4+ T activated,IL7R,GZMK,KLRB1,CCL5,AL627171.2,MALAT1,ANXA1,TPT1
8.179853,-11.170359,CD8+ T naive,CD8B,CD8,LINC02446,JUN,FOS,CD8A,NEAT1,MALAT1
7.2657533,15.521769,Transitional B,IGHM,CD79B,TCL1A,IGLC1,VPREB3,IGKC,HLA-DRA,BCL7A
13.892166,13.039873,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,IGHD,CD79B,MS4A1,HLA-DRB1
-13.4099,12.558451,Reticulocyte,MALAT1,HBA2,HBD,HBB,HBA1,TPT1,HBM,AHSP
8.06788,-8.919727,CD8+ T naive,CD8,CD8B,LINC02446,JUNB,JUN,TRBC2,HBD,AIF1
15.8583975,16.603016,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD79A,CD74,IGHD,TCL1A,MS4A1
-2.9541643,-13.495962,CD4+ T naive,IL7R,JUNB,IGKC,AL499604.1,PRKCQ-AS1,FOS,TRAC,ARL4C
7.74228,-11.236687,CD8+ T naive,CD8B,CD8,CD8A,DUSP2,FOS,LINC02446,HIST1H4C,JUNB
-0.635537,-10.422701,CD4+ T naive,TNFAIP3,JUNB,IL7R,TPT1,TRBC2,MALAT1,PCED1B-AS1,SNHG7
-2.0000446,-14.133568,CD4+ T naive,HIST1H4C,TPT1,PRKCQ-AS1,PCED1B-AS1,CD69,HBA1,ANXA1,H1FX
9.620093,-10.922042,CD8+ T naive,CD8B,CD8,LINC02446,JUNB,JUN,CD7,HBD,TRBC2
6.3216553,15.462425,Transitional B,IGHM,TCL1A,CD79B,VPREB3,IGKC,VPREB1,IGLC1,IGLL1
-14.030767,14.838469,Reticulocyte,MALAT1,HBM,HBD,HBA2,HBB,HBA1,CA1,AHSP
7.6221266,14.0892105,Transitional B,CD79B,TCL1A,IGHM,IGLC2,VPREB3,IGLC1,HLA-DRA,SOX4
12.558583,15.468149,Transitional B,IGKC,IGHM,IGLC1,CD79B,HLA-DRA,TCL1A,CD79A,CD74
9.313302,1.2249105,CD8+ T CD57+ CD45RA+,NKG7,GNLY,CCL5,GZMB,GZMH,FGFBP2,CST7,TRBC2
10.270712,15.6423645,Transitional B,IGKC,IGHM,CD79B,TCL1A,HLA-DRA,IGLC1,CD79A,CD74
6.6401863,-12.468732,CD8+ T naive,FOS,JUN,CD8,CD8B,DUSP2,MALAT1,CITED2,KLRK1
-0.5891278,-8.90135,CD4+ T activated,MALAT1,CRIP1,SAT1,CCL5,BCL11B,DNAJB1,FOSB,TRAC
9.492384,-9.628315,CD8+ T naive,CD8,CD8A,KLRK1,JUNB,AIF1,JUN,S100A11,CD69
9.246101,1.0866687,CD8+ T CD57+ CD45RA+,NKG7,GNLY,CCL5,GZMH,FGFBP2,CD8B,CD8,PRF1
7.9405823,14.043141,Transitional B,IGHM,CD79B,IGLC2,TCL1A,IGLC3,HLA-DRA,CD24,SOX4
3.383222,9.164438,Erythroblast,HBD,HBM,CA1,HIST1H4C,PRDX2,AHSP,HBB,TUBA1B
15.632519,11.766678,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,CD79A,HLA-DRB1,TCL1A,IGHD
-0.60502636,-11.148552,CD4+ T naive,TNFAIP3,JUNB,BCL11B,TRAC,AL499604.1,H1FX,IL7R,FOS
1.4226019,-12.515224,CD4+ T naive,TRBC1,JUNB,HIST1H4C,HBD,IL7R,BCL11B,TPT1,TRAC
6.481751,-11.476497,CD8+ T naive,CD8B,CD8,CD8A,JUNB,IL7R,TRBC1,JUN,IRF1
-1.1281867,-9.941069,CD4+ T activated,CD69,JUNB,IL7R,H1FX,FOS,S100A11,HBA1,HIST1H4C
-1.2250917,-12.20375,CD4+ T naive,CD69,H1FX,TNFAIP3,JUNB,TRBC2,HBA2,TPT1,AL499604.1
6.6313577,-10.251486,CD8+ T naive,CD8B,CD8,JUN,LINC02446,IL7R,HIST1H1D,TRBC2,JUNB
-0.7602686,-10.615221,CD4+ T naive,IL7R,JUNB,PCED1B-AS1,MALAT1,TPT1,HBA2,PRKCQ-AS1,NEAT1
-0.8168528,6.761286,Normoblast,HBD,HBM,HBB,CA1,AHSP,HBA2,HBA1,PRDX2
4.2559175,8.651456,Erythroblast,HBM,HIST1H4C,HBD,PRDX2,AHSP,HBB,CA1,TUBB
-3.0469065,-13.93609,CD4+ T naive,FOS,AL499604.1,HIST1H4C,JUNB,NEAT1,AIF1,MAL,TRBC2
-8.32564,11.275197,Reticulocyte,MALAT1,HBA2,HBB,HBA1,HBD,CA1,AHSP,TPT1
-9.569952,12.968251,Reticulocyte,HBM,MALAT1,HBA2,HBB,HBD,HBA1,TPT1,FOS
-0.39352703,-10.704087,CD4+ T activated,IL7R,MALAT1,HIST1H4C,TPT1,SAT1,JUN,TNFAIP3,HBD
13.177952,16.417498,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD79B,CD79A,CD74,IGHD,JUN
-0.83915913,6.8440037,Normoblast,HBD,HBM,HBB,AHSP,HBA2,CA1,HBA1,SLC25A37
-2.9037807,-13.548325,CD4+ T naive,JUNB,FOS,TRBC1,PRKCQ-AS1,PCED1B-AS1,IL7R,CD69,JUN
3.2870264,6.9126925,Erythroblast,HIST1H4C,HBM,HBD,HBB,AHSP,CA1,HBA2,HMGB2
3.8564837,9.188338,Erythroblast,HBM,HBD,CA1,PRDX2,AHSP,HIST1H4C,HBB,TUBA1B
-17.485884,11.418095,Reticulocyte,MALAT1,HBA2,HBB,HBA1,TPT1,FOS,TMSB10,HBM
4.0777197,7.839095,Erythroblast,HBD,HIST1H4C,HBM,AHSP,PRDX2,HBB,HIST1H1B,TUBA1B
-11.547904,12.780343,Reticulocyte,MALAT1,HBM,HBA2,HBB,TPT1,HBA1,HBD,AHSP
1.446344,-10.120208,CD4+ T naive,MALAT1,TNFAIP3,HBD,BCL11B,JUNB,HBM,IL7R,YBX3
1.7389784,-12.815439,CD4+ T naive,JUNB,H1FX,IL7R,CD7,GZMM,JUN,HBD,TPT1
-17.216406,12.223131,Reticulocyte,MALAT1,HBA2,HBB,HBA1,TPT1,FOS,HBD,HIST1H4C
16.313614,17.131865,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79A,IGHD,TCL1A,HLA-DQA1
15.438683,-1.9141593,NK,GNLY,NKG7,CLIC3,PRF1,GZMB,KLRD1,CCL4,KLRF1
-15.098125,13.113327,Reticulocyte,MALAT1,HBA2,HBD,HBB,HBA1,TPT1,AHSP,HBM
3.4407272,-8.122598,CD4+ T activated,FOS,JUNB,MALAT1,NEAT1,JUN,CD40LG,CD74,TNFAIP3
0.21992499,-9.005864,CD4+ T naive,IL7R,MALAT1,KLRB1,BCL11B,TPT1,ANXA1,SAT1,CD7
7.047518,15.763274,Transitional B,CD79B,IGKC,TCL1A,H1FX,IGHM,IGLC1,HLA-DRA,VPREB3
-15.792294,12.094719,Reticulocyte,MALAT1,HBA2,HBB,HBA1,HBD,TPT1,HIST1H4C,FOS
-15.941125,12.632912,Reticulocyte,MALAT1,HBA2,HBB,HBD,HBA1,CA1,TPT1,HBM
15.080426,17.596806,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,IGHD,CD79A,CD74,HLA-DRB1,MS4A1
13.286669,12.604204,Naive CD20+ B IGKC-,IGHM,HLA-DRA,CD74,CD79B,IGHD,TCL1A,CD79A,HLA-DRB1
9.618726,-8.323697,CD8+ T naive,CD8B,CD8,HBD,PCED1B-AS1,TPT1,HBA1,HBB,NUCB2
14.651447,11.607189,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,TCL1A,IGHD,CD79A,HLA-DPA1
-0.85091084,-10.148117,CD4+ T naive,HBA1,MALAT1,IL7R,HIST1H4C,HBB,HBA2,H1FX,SAT1
10.297329,0.46408582,CD8+ T CD57+ CD45RA+,NKG7,GNLY,CCL5,FGFBP2,GZMH,GZMB,SYNE2,FOS
-11.652756,10.81337,Reticulocyte,MALAT1,HBD,HBA2,HBB,HBA1,HBM,TPT1,FOS
-12.5733185,11.664731,Reticulocyte,MALAT1,HBA2,HBB,HBA1,HBM,TPT1,HBD,AHSP
-10.781814,14.1811495,Reticulocyte,MALAT1,HBA2,HBB,HBD,HBA1,HBM,TPT1,CA1
8.050877,-10.160503,CD8+ T naive,CD8,CD69,JUN,JUNB,CD7,CD8A,LINC02446,KLRK1
15.471467,11.22455,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,HLA-DRB1,IGHD,HLA-DPB1,MS4A1
15.1857195,-1.8384268,NK,GNLY,NKG7,CCL4,GZMB,KLRD1,PRF1,JUN,CTSW
2.5437415,-13.241977,CD4+ T naive,FOS,JUN,HIST1H4C,JUNB,ANXA1,H1FX,IGKC,TRAC
12.616798,-2.8345947,NK,GNLY,NKG7,AREG,CMC1,IL7R,ID2,SAT1,GZMA
-19.636452,-7.7714806,CD14+ Mono,S100A9,S100A8,LYZ,S100A12,AC020916.1,FCN1,NEAT1,LGALS1
2.9845111,9.025638,Erythroblast,HBD,HBM,HIST1H4C,CA1,AHSP,PRDX2,HBB,TUBA1B
4.382067,8.428267,Erythroblast,HIST1H4C,HBD,HBM,PRDX2,CA1,AHSP,TUBA1B,HIST1H1B
7.747411,-8.251568,CD8+ T naive,CD8,KLRK1,CD8A,PCED1B-AS1,JUNB,H1FX,ARL4C,IL7R
-2.3426082,-9.985266,CD4+ T activated,JUNB,IL7R,GPR183,MALAT1,FOS,SAT1,TPT1,BCL2
10.144628,1.4296027,CD8+ T CD57+ CD45RA+,GNLY,NKG7,CCL5,GZMB,GZMH,TRBC2,SYNE1,PRF1
7.277852,-9.868509,CD8+ T naive,CD8B,CD8,JUN,LINC02446,HBA1,JUNB,NEAT1,SAT1
7.462439,14.622946,Transitional B,IGHM,CD79B,TCL1A,IGLC1,BCL7A,CD24,HLA-DRA,STMN1
13.266581,11.613057,Naive CD20+ B IGKC-,IGHM,CD74,IGHD,HLA-DRA,CD79A,CD79B,HLA-DPB1,MS4A1
9.994437,0.11854355,CD8+ T CD57+ CD45RA+,GNLY,NKG7,GZMB,PRF1,FGFBP2,CTSW,CCL5,GZMH
-16.907038,-7.5557194,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,AC020656.1,FCN1,MNDA,VCAN
15.670936,-1.1267009,NK,GNLY,NKG7,CCL4,GZMB,CLIC3,CTSW,KLRD1,PRF1
-3.7885587,-7.2758045,CD4+ T activated,IL7R,ANXA1,TNFAIP3,CRIP1,TRBC2,HBA1,TPT1,S100A11
7.802293,-10.820026,CD8+ T naive,CD8B,CD8,JUNB,DUSP2,JUN,HBB,IL7R,HBA1
-4.4298773,-7.1245227,CD4+ T activated,IL7R,CRIP1,ANXA1,ITGB1,TPT1,SAT1,HBD,S100A11
-1.7718277,-11.846335,CD4+ T naive,H1FX,IL7R,JUNB,TPT1,CCL4,BCL11B,AL499604.1,TRAT1
6.536578,-9.475623,CD8+ T naive,CD8B,CD8,LINC02446,ID2,JUN,JUNB,HBD,TPT1
14.045439,11.649256,Naive CD20+ B IGKC-,IGHM,CD74,HLA-DRA,IGHD,HLA-DRB1,MS4A1,CD79B,CD79A
6.9478855,-9.189979,CD8+ T naive,CD8,CD8B,JUN,LINC02446,CD8A,FOS,JUNB,KLRK1
-2.5023475,-11.863658,CD4+ T naive,TNFAIP3,JUN,JUNB,NEAT1,IL7R,AL499604.1,FOSB,TPT1
8.230936,-10.619484,CD8+ T naive,CD8,JUN,CD8B,NUCB2,CRIP1,TNFAIP3,S100A11,HBD
15.453046,-2.9188497,NK,GNLY,NKG7,CCL4,CTSW,KLRD1,GZMA,PRF1,GZMM
-16.188864,12.588915,Reticulocyte,MALAT1,HBA2,HBB,HBA1,HBD,TPT1,FOS,CA1
10.4765,0.7972741,CD8+ T CD57+ CD45RA+,GNLY,NKG7,CCL5,GZMH,GZMB,PRF1,CST7,LGALS1
-0.13064179,-10.888654,CD4+ T naive,MALAT1,AL627171.2,ARL4C,TNFAIP3,NEAT1,CD69,HBA2,HBB
-15.998146,13.5337305,Reticulocyte,MALAT1,HBA2,HBB,HBM,HBA1,HBD,AHSP,TPT1
-16.66837,-9.68301,CD14+ Mono,S100A9,LYZ,S100A8,NEAT1,AC020916.1,SAT1,MCL1,MNDA
-2.1322188,-14.192522,CD4+ T naive,JUN,H1FX,IL7R,EGR1,JUNB,FOS,PCED1B-AS1,PRKCQ-AS1
-0.16764821,-10.657995,CD4+ T activated,KLRB1,JUNB,TRBC1,MALAT1,SAT1,GPR183,TRAC,IL7R
15.632327,16.861452,Naive CD20+ B IGKC+,IGKC,IGHM,CD74,HLA-DRA,CD79A,HLA-DRB1,IGHD,TCL1A
2.2076018,8.798215,Erythroblast,HBD,HBM,HIST1H4C,CA1,AHSP,HBB,MALAT1,PRDX2
-13.867691,12.282749,Reticulocyte,MALAT1,HBA2,HBD,HBB,HBA1,TPT1,HIST1H4C,AHSP
2.4168117,-9.992164,CD4+ T naive,JUNB,IL7R,NEAT1,H1FX,CD7,CD247,TPT1,BCL11B
9.486743,0.86331666,CD8+ T CD57+ CD45RA+,NKG7,GNLY,GZMB,CCL5,GZMH,FGFBP2,KLRK1,CD8
-14.68529,13.741261,Reticulocyte,MALAT1,HBA2,HBB,HBM,HBA1,HBD,TPT1,AHSP
-17.477036,11.023108,Reticulocyte,MALAT1,HBA2,HBA1,HBB,TPT1,FOS,CD69,HIST1H4C
10.074221,0.064848125,CD8+ T CD57+ CD45RA+,GNLY,NKG7,CCL5,GZMB,GZMH,KLRD1,CTSW,CST7
-2.5914044,-15.442936,CD4+ T naive,JUNB,H1FX,TRBC1,AL499604.1,PRKCQ-AS1,MARCKSL1,FOS,ARL4C
-5.940253,9.362747,Normoblast,HBB,HBA2,MALAT1,TPT1,HBA1,HBD,HBM,FOS
-0.96237284,-15.749776,CD4+ T naive,TRBC1,FOS,DDIT4,JUNB,H1FX,AL499604.1,HIST1H4C,HBA2
-8.940452,12.157833,Reticulocyte,HBM,MALAT1,HBD,HBA2,HBB,HBA1,AHSP,TPT1
7.596724,-10.715313,CD8+ T naive,CD8,IL7R,JUN,CD8A,FOS,CD8B,CD69,KLRK1
14.229713,11.939775,Naive CD20+ B IGKC-,IGHM,CD74,HLA-DRA,CD79A,IGLC2,IGHD,HLA-DRB1,HLA-DPB1
7.570226,14.068175,Transitional B,IGHM,CD79B,IGLC3,TCL1A,HLA-DRA,CD79A,IGLC1,MALAT1
-2.4319973,-10.964084,CD4+ T activated,MALAT1,IL7R,JUNB,NEAT1,PIK3IP1,COTL1,PCED1B-AS1,HBA2
7.333105,-7.79825,CD8+ T naive,CD8B,CD8,KLRK1,JUN,KLF6,MALAT1,GZMK,CD8A
-18.05125,-8.674007,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,SAT1,AC020656.1,AC020916.1,NAMPT
-19.353388,-4.1788683,CD14+ Mono,S100A9,LYZ,S100A8,AC020656.1,LGALS1,SAT1,IGKC,RETN
-11.243727,10.908751,Reticulocyte,MALAT1,HBA2,HBA1,HBD,HBB,AHSP,TPT1,HBM
-15.376162,13.58559,Reticulocyte,MALAT1,HBA2,HBB,HBA1,HBD,HBM,TPT1,FOS
1.0825276,-13.64171,CD4+ T naive,TRBC1,JUNB,CD69,TPT1,HIST1H4C,CRIP1,H1FX,TRAC
15.250364,-0.86645013,NK,GNLY,NKG7,GZMB,SAT1,PRF1,GZMA,CTSW,FGFBP2
2.277957,-10.616291,CD4+ T activated,H1FX,BCL11B,TRAC,NEAT1,HBD,LIME1,AL499604.1,HBB
8.867384,15.777017,Transitional B,IGHM,IGKC,CD79B,TCL1A,HLA-DRA,CD79A,VPREB3,IGLC1
-13.068849,13.199997,Reticulocyte,MALAT1,HBM,HBA2,HBD,HBB,HBA1,TPT1,AHSP
3.4766066,8.794665,Erythroblast,HBD,HIST1H4C,HBM,PRDX2,CA1,AHSP,HBB,HMGB2
8.346927,-10.769042,CD8+ T naive,CD8B,CD8A,CD8,IL7R,JUNB,CD69,JUN,TRBC1
-13.356035,13.093667,Reticulocyte,MALAT1,HBD,HBA2,HBB,HBA1,HBM,TPT1,FOS
-15.50641,12.699318,Reticulocyte,MALAT1,HBA2,HBB,HBA1,HBD,CA1,TPT1,HIST1H4C
-11.480097,12.390933,Reticulocyte,MALAT1,HBA2,HBD,HBB,HBM,HBA1,TPT1,AHSP
6.784561,13.45274,Transitional B,TCL1A,IGHM,IGLC3,CD79B,YBX3,STMN1,SOX4,HLA-DRA
-1.1970588,-12.811073,CD4+ T naive,JUN,H1FX,AL499604.1,TRBC1,HIST1H4C,BCL11B,IGKC,TNFAIP3
9.754661,0.29128647,CD8+ T CD57+ CD45RA+,GNLY,NKG7,CCL5,GZMH,FGFBP2,CD8,CD8B,GZMB
8.758179,-8.048786,CD8+ T naive,CD8B,CD8,KLRK1,HBA1,HBD,CD8A,OXNAD1,CD74
7.7832837,15.947125,Transitional B,IGKC,IGHM,CD79B,IGLC1,VPREB3,HLA-DRA,TCL1A,SAT1
4.8179445,9.270781,Erythroblast,HIST1H4C,HBM,HBD,CA1,PRDX2,AHSP,HBB,MALAT1
15.477589,1.0809247,NK,NKG7,GNLY,GZMB,CCL4,PRF1,KLRD1,CST7,GZMH
9.352778,-9.285015,CD8+ T naive,CD8B,CD8,CD8A,KLRK1,SAT1,LINC02446,TMSB10,TPT1
-11.100752,14.391503,Reticulocyte,MALAT1,HBA2,HBB,HBD,HBM,HBA1,TPT1,AHSP
-16.19739,13.139014,Reticulocyte,MALAT1,HBA2,HBB,HBA1,HBD,HBM,TPT1,HIST1H4C
15.77397,0.0074863434,NK,GNLY,NKG7,CCL4,GZMB,PRF1,FGFBP2,KLRK1,HBA1
-11.270754,13.02611,Reticulocyte,MALAT1,HBM,HBA2,HBB,HBA1,HBD,AHSP,TPT1
-19.680515,-7.7475247,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,LGALS1,AC020916.1,MNDA,FCN1
9.160614,-10.265663,CD8+ T naive,CD8,CD8A,CD8B,CD7,MALAT1,PCED1B-AS1,JUNB,HBD
-9.464227,10.945993,Reticulocyte,MALAT1,HBM,HBB,HBA2,HBD,TPT1,HBA1,AHSP
1.0681118,-12.718036,CD4+ T activated,CD69,JUNB,CRIP1,AL499604.1,FOS,BCL11B,ARL4C,KLRB1
9.49262,-9.670717,CD8+ T naive,CD8B,CD8,LINC02446,JUN,HBA1,CD8A,CD7,HIST1H4C
-12.147682,14.039347,Reticulocyte,MALAT1,HBD,HBA2,HBB,HBA1,TPT1,AHSP,CA1
6.634506,-8.934553,CD8+ T naive,CD8,IL7R,ZFP36,CD8B,CD7,TRBC2,MALAT1,ID2
-16.1698,12.789347,Reticulocyte,MALAT1,HBA2,HBB,HBA1,HBD,HBM,TPT1,AHSP
7.3276043,-8.128407,CD8+ T naive,CD8B,CD8,JUNB,ID2,TRAC,TNFAIP3,TRBC2,JUN
13.464591,15.965147,Naive CD20+ B IGKC+,IGKC,IGHM,CD74,HLA-DRA,IGHD,CD79A,TCL1A,MS4A1
7.004362,15.809685,Transitional B,CD79B,IGKC,IGHM,TCL1A,IGLC1,CD24,SOX4,VPREB3
-17.560528,-4.58177,CD14+ Mono,S100A9,S100A8,LYZ,LGALS1,AC020656.1,S100A12,VCAN,HIST1H4C
11.425747,15.565116,Transitional B,IGKC,IGHM,CD79B,HLA-DRA,CD79A,TCL1A,CD74,VPREB3
7.5021925,-9.124983,CD8+ T naive,CD8,CD8B,LINC02446,KLRK1,JUN,CD8A,HBA1,TRBC2
9.47735,-10.427401,CD8+ T naive,CD8B,CD8,CD8A,LINC02446,GPR183,JUNB,GZMM,MALAT1
6.973837,15.740782,Transitional B,IGHM,IGKC,CD79B,TCL1A,CD24,H1FX,HLA-DRA,VPREB3
-15.269588,13.025846,Reticulocyte,MALAT1,HBA2,HBD,HBB,HBA1,AHSP,TPT1,FOS
15.18289,-3.732603,NK,NKG7,CCL4,FCER1G,IL2RB,KLRD1,CLIC3,TYROBP,CD7
-3.2086124,-10.339571,CD4+ T activated,MALAT1,ANXA1,IL7R,KLRB1,HBA1,FOS,TPT1,HIST1H4C
-11.718348,14.084526,Reticulocyte,MALAT1,HBD,HBA2,HBB,HBA1,CA1,AHSP,TPT1
-9.438426,13.531172,Reticulocyte,MALAT1,HBA2,HBD,HBB,HBM,HBA1,AHSP,TPT1
9.722547,14.906602,Transitional B,IGHM,IGKC,CD79B,IGLC2,CD79A,TCL1A,HLA-DRA,CD74
1.3352543,-12.319327,CD4+ T naive,H1FX,ARL4C,JUNB,TNFAIP3,TRAC,IL7R,GPR183,CD69
-13.803559,11.136042,Reticulocyte,MALAT1,HBA2,HBB,HBA1,HBD,TPT1,HBM,FOS
-2.59697,7.6800585,Normoblast,HBD,HBM,HBB,HBA2,HBA1,CA1,PRDX2,AHSP
-9.842066,13.852729,Reticulocyte,MALAT1,HBA2,HBB,HBM,HBD,HBA1,AHSP,TPT1
-17.024635,-6.019765,CD14+ Mono,S100A9,S100A8,LYZ,SAT1,VCAN,NEAT1,AC020656.1,S100A12
-12.221285,12.497382,Reticulocyte,MALAT1,HBM,HBD,HBA2,HBB,HBA1,TPT1,AHSP
